"COOK, IL  [COUNTY, 17031]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 48 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",6.911,6.910,6.970,7.039,6.741,8.236,8.673,9.005,9.573,9.609,9.588,10.024,10.276,11.017,10.598,10.873,10.882,11.175,11.666,10.750,10.389,10.117,9.788,9.646,9.232,8.921,8.728,8.408,9.256,9.418,8.830,8.212,7.589,7.491,7.104,7.322,7.114,7.458,8.065,7.857,7.601,7.566,7.327,7.728,7.722,7.691,7.977,8.780,9.649,9.511,9.255,9.076,8.507,7.893,7.145,6.788,6.475,6.061,5.821,5.597,5.239,5.137,4.884,4.800,4.885,4.830,4.855,4.495,4.604,4.806,4.941
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 49 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",7.477,7.999,7.889,7.882,7.859,7.417,9.015,9.381,9.627,10.185,10.111,9.411,9.867,10.065,10.745,10.333,10.595,10.580,10.831,11.341,10.554,10.288,10.036,9.721,9.596,9.148,8.866,8.664,8.341,9.199,9.303,8.610,8.043,7.531,7.433,7.048,7.262,7.055,7.396,7.997,7.789,7.535,7.499,7.264,7.660,7.657,7.625,7.907,8.703,9.563,9.425,9.172,8.990,8.427,7.815,7.072,6.717,6.403,5.993,5.752,5.531,5.178,5.076,4.827,4.744,4.828,4.774,4.800,4.446,4.552,4.755
"  BLACK NON-HISPANIC FEMALE POPULATION AGE 50 to 54 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",33.194,33.589,34.743,35.266,35.804,36.383,36.553,37.749,39.576,41.599,43.865,46.519,46.941,47.468,48.179,48.435,48.915,50.316,51.169,52.129,52.775,52.723,52.281,51.499,50.239,48.673,47.126,45.532,44.159,42.816,42.496,42.181,41.728,41.527,41.078,39.588,37.631,36.414,35.440,35.294,35.846,36.566,36.818,37.225,37.077,36.753,36.631,36.716,37.104,38.497,40.358,42.075,43.540,44.550,44.232,42.502,40.185,37.779,35.254,32.892,30.888,29.393,27.904,26.621,25.488,24.512,23.833,23.448,23.186,22.818,22.629
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 50 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",7.041,7.107,7.702,7.649,7.745,7.800,7.466,9.148,9.656,10.023,10.414,9.912,9.225,9.718,9.859,10.594,10.145,10.414,10.412,10.646,11.027,10.399,10.203,9.926,9.570,9.491,9.000,8.717,8.485,8.211,9.040,9.036,8.381,7.930,7.423,7.325,6.945,7.155,6.950,7.283,7.876,7.673,7.420,7.387,7.154,7.543,7.539,7.507,7.783,8.567,9.413,9.276,9.024,8.845,8.287,7.685,6.952,6.600,6.292,5.887,5.650,5.434,5.086,4.985,4.739,4.660,4.740,4.689,4.715,4.367,4.473
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 51 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",6.675,6.739,6.784,7.280,7.167,7.227,7.240,6.870,8.378,8.802,9.210,10.314,9.794,9.168,9.721,9.894,10.624,10.246,10.595,10.634,10.828,10.964,10.384,10.184,9.897,9.520,9.406,8.888,8.653,8.429,8.161,8.985,8.983,8.439,7.984,7.471,7.373,6.989,7.198,6.989,7.324,7.920,7.712,7.458,7.425,7.189,7.580,7.574,7.540,7.814,8.600,9.447,9.306,9.054,8.872,8.310,7.706,6.970,6.617,6.307,5.902,5.664,5.448,5.098,4.997,4.749,4.669,4.750,4.698,4.724,4.376
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 52 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",6.624,6.606,6.725,6.780,7.283,7.227,7.332,7.345,7.037,8.618,8.929,9.065,10.181,9.617,9.021,9.569,9.733,10.424,10.058,10.382,10.446,10.717,10.804,10.228,10.015,9.729,9.365,9.229,8.767,8.509,8.269,7.906,8.769,8.880,8.342,7.892,7.385,7.286,6.905,7.111,6.905,7.237,7.824,7.620,7.366,7.334,7.102,7.486,7.480,7.447,7.717,8.492,9.327,9.189,8.938,8.759,8.203,7.607,6.878,6.531,6.223,5.825,5.591,5.377,5.030,4.932,4.687,4.607,4.689,4.637,4.664
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 53 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",6.321,6.732,6.700,6.782,6.798,7.311,7.216,7.248,7.295,6.954,8.459,8.868,8.966,10.073,9.543,8.903,9.516,9.693,10.370,10.033,10.349,10.382,10.609,10.716,10.145,9.937,9.602,9.259,9.091,8.706,8.433,8.106,7.723,8.680,8.789,8.254,7.808,7.304,7.205,6.826,7.028,6.825,7.150,7.730,7.530,7.280,7.251,7.017,7.398,7.392,7.358,7.622,8.387,9.212,9.074,8.824,8.648,8.099,7.508,6.787,6.443,6.139,5.746,5.514,5.303,4.959,4.864,4.622,4.543,4.624,4.572
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 54 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",6.533,6.405,6.832,6.775,6.811,6.818,7.299,7.138,7.210,7.202,6.853,8.360,8.775,8.892,10.035,9.475,8.897,9.539,9.734,10.434,10.125,10.261,10.281,10.445,10.612,9.996,9.753,9.439,9.163,8.961,8.593,8.148,7.872,7.598,8.540,8.646,8.120,7.680,7.182,7.085,6.713,6.911,6.712,7.030,7.602,7.407,7.159,7.132,6.903,7.277,7.270,7.238,7.496,8.250,9.061,8.924,8.676,8.503,7.959,7.380,6.670,6.331,6.033,5.647,5.419,5.212,4.873,4.780,4.541,4.466,4.544
"  BLACK NON-HISPANIC FEMALE POPULATION AGE 55 to 59 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",29.013,29.247,29.842,30.495,31.077,31.458,31.691,32.471,32.885,33.333,33.833,33.959,35.199,36.431,37.943,40.491,42.695,42.987,43.685,44.483,44.981,46.179,47.485,48.477,49.279,49.666,49.439,48.751,47.898,46.672,45.131,43.000,41.103,39.848,38.572,38.480,38.793,38.859,38.648,38.191,36.793,34.955,33.825,32.915,32.788,33.316,33.981,34.218,34.598,34.459,34.176,34.065,34.155,34.522,35.836,37.579,39.173,40.524,41.455,41.141,39.523,37.357,35.110,32.758,30.559,28.692,27.302,25.914,24.730,23.682,22.780
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 55 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",6.400,6.482,6.380,6.787,6.698,6.739,6.727,7.182,7.051,7.091,7.090,6.719,8.171,8.513,8.609,9.701,9.090,8.481,9.094,9.263,9.931,10.008,10.123,10.126,10.310,10.421,9.829,9.559,9.260,9.031,8.809,8.309,7.902,7.734,7.468,8.393,8.499,7.981,7.548,7.059,6.965,6.600,6.796,6.601,6.916,7.480,7.290,7.047,7.021,6.797,7.168,7.164,7.132,7.389,8.135,8.933,8.803,8.560,8.389,7.853,7.282,6.581,6.248,5.954,5.574,5.350,5.145,4.810,4.720,4.485,4.412
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 56 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",5.898,6.208,6.332,6.238,6.602,6.512,6.553,6.538,7.030,6.853,6.934,6.987,6.646,8.045,8.424,8.500,9.607,9.005,8.378,9.042,9.326,9.876,9.891,10.029,10.018,10.188,10.276,9.702,9.439,9.157,8.882,8.483,8.056,7.761,7.594,7.332,8.243,8.344,7.832,7.406,6.927,6.833,6.474,6.664,6.473,6.782,7.336,7.151,6.909,6.887,6.666,7.029,7.026,6.996,7.245,7.977,8.762,8.632,8.393,8.226,7.697,7.139,6.449,6.120,5.831,5.458,5.237,5.039,4.711,4.623,4.392
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 57 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",5.984,5.883,6.242,6.347,6.239,6.626,6.534,6.582,6.616,7.100,7.018,6.840,6.898,6.532,7.922,8.270,8.354,9.505,8.897,8.330,8.826,9.265,9.729,9.731,9.868,9.860,9.998,10.143,9.560,9.286,9.000,8.623,8.260,7.950,7.657,7.492,7.234,8.133,8.230,7.723,7.304,6.831,6.738,6.383,6.570,6.382,6.687,7.232,7.048,6.808,6.788,6.570,6.927,6.925,6.895,7.140,7.862,8.634,8.507,8.272,8.109,7.588,7.037,6.357,6.033,5.747,5.380,5.164,4.967,4.643,4.557
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 58 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4.988,5.233,5.192,5.552,5.648,5.609,5.997,5.945,6.065,6.110,6.614,6.935,6.731,6.775,6.437,7.845,8.128,8.253,9.457,8.871,8.419,8.715,9.130,9.576,9.616,9.727,9.696,9.815,9.981,9.398,9.160,8.767,8.413,8.165,7.859,7.568,7.407,7.151,8.039,8.136,7.635,7.220,6.752,6.660,6.310,6.496,6.310,6.611,7.148,6.969,6.731,6.713,6.497,6.850,6.850,6.819,7.063,7.778,8.543,8.417,8.185,8.025,7.509,6.966,6.293,5.970,5.687,5.325,5.111,4.919,4.596
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 59 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",5.743,5.441,5.696,5.571,5.890,5.972,5.880,6.224,6.123,6.179,6.177,6.478,6.753,6.566,6.551,6.175,7.516,7.743,7.859,8.977,8.479,8.315,8.612,9.015,9.467,9.470,9.640,9.532,9.658,9.800,9.280,8.818,8.472,8.238,7.994,7.695,7.410,7.250,6.999,7.867,7.962,7.471,7.065,6.607,6.519,6.176,6.358,6.177,6.472,6.998,6.823,6.589,6.573,6.362,6.711,6.710,6.683,6.920,7.623,8.373,8.250,8.024,7.867,7.361,6.828,6.167,5.853,5.576,5.221,5.012,4.823
"  BLACK NON-HISPANIC FEMALE POPULATION AGE 60 to 64 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",27.084,27.247,27.177,27.251,27.228,27.348,27.546,27.913,28.497,29.124,29.423,29.286,29.505,29.936,30.260,30.239,30.347,31.384,32.538,33.981,36.408,38.594,39.154,39.945,40.974,41.785,42.562,43.669,44.490,44.998,45.363,44.342,43.083,42.251,41.132,39.715,38.556,37.328,36.171,34.993,34.914,35.190,35.223,35.014,34.589,33.316,31.651,30.629,29.805,29.690,30.171,30.773,30.978,31.335,31.217,30.977,30.897,31.008,31.348,32.565,34.179,35.636,36.871,37.725,37.435,35.955,33.963,31.904,29.752,27.752,26.053
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 60 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",5.670,5.660,5.429,5.677,5.562,5.933,6.052,5.976,6.378,6.324,6.382,5.996,6.258,6.540,6.314,6.297,5.935,7.233,7.434,7.525,8.430,8.327,8.129,8.483,8.856,9.336,9.242,9.402,9.388,9.455,9.637,8.870,8.548,8.319,8.089,7.849,7.554,7.274,7.115,6.867,7.719,7.815,7.331,6.934,6.484,6.397,6.062,6.239,6.060,6.349,6.865,6.696,6.464,6.452,6.245,6.584,6.586,6.560,6.791,7.484,8.221,8.102,7.880,7.724,7.226,6.704,6.053,5.743,5.471,5.124,4.919
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 61 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",5.236,5.405,5.431,5.163,5.359,5.218,5.566,5.651,5.569,5.916,5.894,6.278,5.888,6.197,6.479,6.261,6.285,5.946,7.319,7.581,7.741,8.301,8.188,8.031,8.361,8.693,9.154,9.008,9.212,9.203,9.277,9.197,8.515,8.316,8.091,7.866,7.631,7.345,7.070,6.913,6.673,7.504,7.594,7.122,6.736,6.298,6.215,5.886,6.058,5.883,6.164,6.667,6.505,6.279,6.270,6.068,6.401,6.403,6.378,6.602,7.278,7.995,7.880,7.664,7.514,7.025,6.518,5.881,5.580,5.315,4.978
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 62 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",5.424,5.322,5.506,5.507,5.212,5.398,5.243,5.567,5.675,5.584,5.904,5.760,6.150,5.738,6.047,6.348,6.155,6.167,5.898,7.262,7.467,7.664,8.153,8.115,7.936,8.205,8.581,9.012,8.837,9.086,9.101,8.933,8.897,8.343,8.144,7.925,7.703,7.472,7.192,6.921,6.767,6.530,7.341,7.431,6.969,6.590,6.162,6.081,5.761,5.926,5.758,6.032,6.524,6.369,6.143,6.139,5.943,6.271,6.273,6.250,6.468,7.133,7.836,7.724,7.509,7.359,6.879,6.384,5.757,5.463,5.204
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 63 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",5.254,5.274,5.216,5.410,5.437,5.143,5.365,5.218,5.548,5.681,5.614,5.726,5.602,6.000,5.607,5.917,6.213,6.009,6.052,5.759,7.096,7.322,7.514,7.966,7.946,7.759,7.979,8.418,8.802,8.649,8.871,8.708,8.663,8.744,8.198,8.003,7.787,7.568,7.341,7.064,6.798,6.646,6.413,7.211,7.298,6.843,6.472,6.050,5.970,5.654,5.816,5.651,5.920,6.404,6.252,6.029,6.028,5.836,6.157,6.161,6.139,6.353,7.010,7.701,7.592,7.380,7.234,6.760,6.275,5.658,5.368
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 64 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",5.500,5.586,5.595,5.494,5.658,5.656,5.320,5.501,5.327,5.619,5.629,5.526,5.607,5.461,5.813,5.416,5.759,6.029,5.835,5.854,5.674,6.980,7.170,7.350,7.875,7.792,7.606,7.829,8.251,8.605,8.477,8.634,8.460,8.529,8.610,8.072,7.881,7.669,7.453,7.228,6.957,6.695,6.544,6.316,7.102,7.188,6.740,6.373,5.956,5.878,5.568,5.727,5.565,5.831,6.307,6.157,5.939,5.938,5.749,6.068,6.073,6.053,6.265,6.912,7.594,7.487,7.279,7.136,6.669,6.192,5.584
"  BLACK NON-HISPANIC FEMALE POPULATION AGE 65 to 69 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",23.256,23.686,24.009,24.297,24.528,24.766,24.830,24.571,24.719,24.530,24.494,24.928,25.325,25.738,25.822,26.022,25.752,26.058,26.543,27.120,27.297,27.513,28.813,29.909,31.349,33.155,35.007,35.475,35.993,36.873,37.580,37.124,37.453,38.152,38.540,38.780,38.556,37.928,37.160,36.153,34.889,33.848,32.736,31.701,30.651,30.574,30.816,30.828,30.616,30.203,29.062,27.590,26.685,25.962,25.863,26.279,26.809,26.984,27.298,27.206,27.030,26.978,27.112,27.419,28.512,29.962,31.243,32.308,33.035,32.736,31.425
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 65 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",5.336,5.535,5.644,5.591,5.422,5.590,5.633,5.325,5.537,5.289,5.500,5.466,5.373,5.489,5.297,5.656,5.250,5.639,5.926,5.751,5.783,5.586,6.842,7.036,7.205,7.712,7.594,7.447,7.615,8.085,8.415,8.087,8.245,8.184,8.244,8.321,7.798,7.611,7.405,7.194,6.976,6.711,6.458,6.307,6.085,6.840,6.924,6.489,6.134,5.731,5.656,5.357,5.508,5.354,5.608,6.066,5.927,5.712,5.716,5.534,5.844,5.848,5.831,6.032,6.661,7.314,7.213,7.008,6.866,6.408,5.951
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 66 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4.779,4.894,5.096,5.167,5.181,5.092,5.241,5.261,5.059,5.249,5.072,5.375,5.339,5.252,5.369,5.109,5.477,5.088,5.502,5.742,5.560,5.692,5.508,6.721,6.898,7.071,7.566,7.421,7.277,7.461,7.945,7.944,7.766,8.019,7.960,8.013,8.087,7.579,7.397,7.193,6.989,6.774,6.516,6.269,6.119,5.906,6.642,6.720,6.296,5.949,5.558,5.486,5.193,5.338,5.187,5.432,5.878,5.745,5.534,5.543,5.366,5.666,5.672,5.654,5.850,6.463,7.094,6.997,6.797,6.658,6.209
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 67 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4.686,4.718,4.815,4.988,5.084,5.033,4.865,5.031,5.111,4.874,4.861,4.939,5.214,5.236,5.138,5.258,4.995,5.399,4.999,5.454,5.703,5.475,5.597,5.403,6.595,6.789,6.915,7.400,7.263,7.159,7.332,7.435,7.561,7.485,7.729,7.673,7.720,7.792,7.301,7.126,6.926,6.730,6.518,6.275,6.036,5.890,5.686,6.397,6.467,6.056,5.722,5.344,5.275,4.991,5.130,4.984,5.219,5.648,5.522,5.317,5.330,5.157,5.449,5.454,5.436,5.626,6.213,6.823,6.728,6.536,6.405
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 68 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4.326,4.249,4.257,4.337,4.499,4.545,4.490,4.412,4.547,4.560,4.585,4.711,4.805,5.065,5.094,5.040,5.117,4.890,5.324,4.926,5.275,5.599,5.375,5.491,5.275,6.438,6.623,6.757,7.229,7.085,6.980,6.907,7.184,7.406,7.333,7.572,7.516,7.566,7.633,7.153,6.982,6.786,6.590,6.387,6.148,5.910,5.770,5.569,6.265,6.331,5.926,5.599,5.228,5.161,4.884,5.015,4.873,5.106,5.525,5.400,5.198,5.214,5.048,5.329,5.340,5.322,5.504,6.082,6.677,6.584,6.400
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 69 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4.129,4.290,4.197,4.214,4.342,4.506,4.601,4.542,4.465,4.558,4.476,4.437,4.594,4.696,4.924,4.959,4.913,5.042,4.792,5.247,4.976,5.161,5.491,5.258,5.376,5.145,6.309,6.450,6.609,7.083,6.908,6.751,6.697,7.058,7.274,7.201,7.435,7.380,7.424,7.487,7.016,6.847,6.654,6.463,6.263,6.028,5.794,5.653,5.454,6.136,6.200,5.804,5.481,5.118,5.054,4.782,4.912,4.773,5.001,5.412,5.292,5.093,5.112,4.950,5.225,5.237,5.219,5.398,5.967,6.550,6.460
"  BLACK NON-HISPANIC FEMALE POPULATION AGE 70 to 74 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",16.983,17.555,18.227,18.661,19.021,19.218,19.577,19.973,20.387,20.755,20.946,20.894,20.663,20.780,20.914,20.984,21.194,21.541,21.902,21.943,22.191,22.528,23.174,23.843,24.330,24.606,24.629,25.642,26.472,27.801,29.381,30.041,30.008,30.363,30.864,31.274,31.696,32.385,32.967,33.279,33.469,33.258,32.683,31.993,31.107,30.005,29.099,28.131,27.209,26.288,26.212,26.399,26.386,26.176,25.786,24.784,23.511,22.729,22.108,22.017,22.381,22.847,23.001,23.278,23.207,23.076,23.055,23.190,23.463,24.411,25.670
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 70 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4.161,4.130,4.289,4.224,4.231,4.355,4.548,4.618,4.612,4.548,4.617,4.361,4.291,4.442,4.470,4.713,4.683,4.620,4.702,4.471,4.865,4.910,5.082,5.421,5.148,5.254,5.032,6.165,6.281,6.458,6.922,6.560,6.407,6.437,6.783,6.990,6.920,7.145,7.089,7.130,7.193,6.740,6.575,6.390,6.205,6.012,5.787,5.561,5.424,5.232,5.886,5.947,5.565,5.255,4.906,4.843,4.583,4.707,4.574,4.793,5.186,5.074,4.882,4.903,4.746,5.012,5.024,5.008,5.178,5.728,6.289
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 71 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",3.587,3.884,3.856,3.987,3.884,3.892,4.015,4.175,4.262,4.256,4.249,4.485,4.297,4.198,4.392,4.433,4.652,4.676,4.648,4.751,4.550,4.785,4.814,4.983,5.305,5.012,5.107,4.896,6.001,6.136,6.294,6.569,6.371,6.307,6.334,6.674,6.878,6.809,7.029,6.975,7.014,7.075,6.628,6.466,6.284,6.100,5.911,5.689,5.463,5.328,5.139,5.782,5.841,5.462,5.158,4.814,4.753,4.496,4.617,4.486,4.702,5.089,4.980,4.789,4.812,4.660,4.920,4.935,4.919,5.084,5.626
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 72 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",3.332,3.390,3.724,3.691,3.823,3.757,3.741,3.879,4.027,4.108,4.049,4.105,4.345,4.142,4.017,4.186,4.188,4.418,4.440,4.411,4.485,4.400,4.650,4.682,4.858,5.150,4.855,4.942,4.744,5.836,5.959,5.952,6.196,6.086,6.021,6.049,6.371,6.566,6.497,6.707,6.655,6.689,6.745,6.318,6.162,5.987,5.811,5.629,5.418,5.200,5.069,4.888,5.500,5.555,5.193,4.902,4.574,4.515,4.271,4.383,4.259,4.466,4.834,4.731,4.547,4.574,4.429,4.676,4.690,4.676,4.829
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 73 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",3.060,3.142,3.278,3.599,3.561,3.714,3.649,3.700,3.872,4.038,4.173,3.915,3.949,4.175,3.974,3.818,3.934,3.980,4.214,4.174,4.169,4.391,4.320,4.555,4.573,4.752,5.013,4.746,4.825,4.652,5.688,5.595,5.716,6.029,5.921,5.860,5.885,6.199,6.386,6.319,6.524,6.473,6.504,6.558,6.143,5.993,5.822,5.649,5.469,5.265,5.052,4.923,4.746,5.341,5.394,5.040,4.756,4.439,4.381,4.144,4.251,4.132,4.332,4.690,4.594,4.412,4.440,4.299,4.539,4.555,4.541
