"WILL, IL  [COUNTY, 17197]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 81 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.002,0.000,0.002,0.002,0.006,0.006,0.004,0.004,0.005,0.006,0.004,0.007,0.005,0.009,0.006,0.004,0.008,0.009,0.006,0.014,0.010,0.012,0.011,0.018,0.009,0.012,0.013,0.011,0.010,0.012,0.007,0.011,0.010,0.015,0.016,0.012,0.019,0.013,0.012,0.011,0.009,0.010,0.010,0.020,0.013
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 82 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.002,0.002,0.002,0.001,0.002,0.000,0.003,0.002,0.008,0.006,0.004,0.004,0.005,0.006,0.003,0.007,0.005,0.009,0.006,0.004,0.007,0.008,0.006,0.014,0.009,0.011,0.010,0.017,0.009,0.012,0.012,0.010,0.010,0.012,0.006,0.010,0.010,0.014,0.016,0.012,0.019,0.013,0.011,0.010,0.009,0.010,0.010,0.020
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 83 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.001,0.002,0.002,0.002,0.001,0.002,0.000,0.002,0.002,0.007,0.006,0.004,0.004,0.004,0.005,0.003,0.007,0.005,0.008,0.006,0.004,0.007,0.008,0.006,0.014,0.009,0.011,0.010,0.017,0.009,0.012,0.012,0.010,0.010,0.011,0.006,0.010,0.009,0.014,0.016,0.012,0.019,0.013,0.011,0.010,0.009,0.010,0.010
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 84 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.002,0.000,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0.003,0.002,0.006,0.005,0.004,0.004,0.003,0.005,0.003,0.007,0.005,0.008,0.006,0.003,0.007,0.008,0.006,0.012,0.008,0.011,0.009,0.015,0.009,0.011,0.012,0.009,0.009,0.010,0.006,0.010,0.008,0.013,0.014,0.010,0.017,0.012,0.010,0.009,0.007,0.010
"  AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 85 YEARS and OVER (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.005,0.005,0.004,0.005,0.008,0.008,0.010,0.011,0.011,0.009,0.008,0.007,0.009,0.009,0.011,0.013,0.015,0.015,0.014,0.015,0.016,0.017,0.018,0.019,0.021,0.023,0.024,0.026,0.028,0.031,0.032,0.035,0.038,0.042,0.045,0.048,0.050,0.053,0.056,0.059,0.063,0.067,0.070,0.073,0.076,0.078,0.081,0.081,0.083,0.083,0.083,0.082,0.081,0.079,0.078,0.077,0.076,0.075,0.073,0.072
"AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION MEDIAN AGE (in years)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",29.00,30.05,29.85,30.77,30.92,31.79,31.46,31.12,31.63,31.22,30.94,32.19,32.75,33.00,33.33,34.15,33.03,33.08,32.36,34.23,34.59,35.38,36.30,36.14,36.83,36.38,36.50,36.96,37.40,37.76,37.61,38.84,38.93,39.13,38.95,38.71,38.79,38.54,38.41,38.80,39.25,39.14,39.36,38.79,38.75,38.48,38.68,38.79,38.95,38.79,38.71,38.90,39.05,39.04,39.21,39.48,39.64,39.93,40.12,40.44,40.84,41.07,41.11,40.88,40.74,40.98,40.83,40.54,40.56,40.34,40.42
"AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION, ALL AGES (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.319,0.332,0.345,0.361,0.366,0.377,0.393,0.407,0.419,0.429,0.427,0.436,0.459,0.496,0.530,0.545,0.591,0.586,0.590,0.592,0.567,0.552,0.574,0.563,0.584,0.585,0.580,0.574,0.578,0.579,0.587,0.598,0.609,0.611,0.618,0.626,0.631,0.633,0.634,0.640,0.648,0.662,0.672,0.680,0.686,0.693,0.702,0.709,0.718,0.718,0.726,0.735,0.741,0.748,0.762,0.772,0.774,0.781,0.792,0.800,0.806,0.812,0.825,0.837,0.836,0.848,0.853,0.857,0.866,0.876,0.885
"  AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE UNDER 5 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.023,0.023,0.024,0.022,0.021,0.017,0.021,0.022,0.025,0.027,0.029,0.032,0.039,0.046,0.053,0.044,0.041,0.050,0.049,0.048,0.043,0.039,0.041,0.037,0.035,0.036,0.037,0.033,0.031,0.030,0.029,0.029,0.030,0.031,0.032,0.034,0.035,0.035,0.035,0.035,0.035,0.036,0.038,0.038,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.041,0.042,0.044,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0.046,0.045,0.045,0.045,0.045
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE UNDER 1 YEAR (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.005,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.005,0.006,0.009,0.007,0.008,0.005,0.008,0.008,0.006,0.008,0.005,0.006,0.007,0.008,0.007,0.008,0.005,0.005,0.006,0.006,0.005,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 1 YEAR (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.006,0.006,0.007,0.009,0.013,0.011,0.010,0.007,0.017,0.014,0.008,0.011,0.004,0.008,0.006,0.009,0.009,0.009,0.003,0.006,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 2 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.006,0.007,0.007,0.003,0.004,0.003,0.005,0.006,0.006,0.004,0.007,0.006,0.008,0.012,0.013,0.011,0.006,0.012,0.016,0.016,0.011,0.009,0.005,0.007,0.007,0.007,0.008,0.007,0.003,0.006,0.007,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 3 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.005,0.006,0.006,0.008,0.005,0.005,0.005,0.006,0.008,0.009,0.007,0.007,0.008,0.009,0.013,0.009,0.012,0.006,0.007,0.010,0.010,0.011,0.009,0.004,0.007,0.006,0.008,0.010,0.008,0.005,0.006,0.005,0.007,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 4 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.004,0.005,0.005,0.005,0.006,0.002,0.003,0.003,0.003,0.004,0.004,0.006,0.005,0.005,0.008,0.009,0.008,0.007,0.006,0.006,0.006,0.009,0.012,0.012,0.005,0.006,0.007,0.008,0.008,0.008,0.005,0.006,0.005,0.007,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.009,0.009,0.009,0.009
"  AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 5 to 9 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.023,0.026,0.030,0.033,0.036,0.039,0.040,0.041,0.039,0.038,0.033,0.029,0.031,0.036,0.031,0.039,0.050,0.048,0.056,0.044,0.044,0.040,0.038,0.047,0.049,0.049,0.039,0.042,0.039,0.031,0.034,0.036,0.038,0.036,0.033,0.032,0.033,0.034,0.035,0.035,0.035,0.037,0.038,0.039,0.040,0.040,0.041,0.041,0.041,0.041,0.043,0.043,0.044,0.044,0.045,0.045,0.045,0.046,0.047,0.048,0.049,0.049,0.049,0.049,0.050,0.050,0.051,0.051,0.050,0.050,0.050
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 5 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.004,0.003,0.004,0.005,0.005,0.007,0.003,0.004,0.005,0.005,0.005,0.004,0.007,0.006,0.007,0.010,0.019,0.016,0.021,0.011,0.011,0.006,0.009,0.015,0.011,0.006,0.006,0.007,0.008,0.009,0.009,0.005,0.006,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.009,0.009,0.009
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 6 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.004,0.005,0.006,0.006,0.006,0.007,0.008,0.004,0.006,0.006,0.005,0.007,0.006,0.008,0.006,0.007,0.009,0.008,0.010,0.009,0.008,0.009,0.006,0.008,0.015,0.016,0.004,0.007,0.008,0.007,0.008,0.008,0.005,0.007,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 7 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.005,0.004,0.007,0.006,0.008,0.009,0.009,0.012,0.005,0.009,0.007,0.003,0.005,0.006,0.006,0.005,0.007,0.006,0.005,0.007,0.006,0.006,0.008,0.005,0.006,0.012,0.013,0.005,0.005,0.006,0.006,0.010,0.009,0.005,0.007,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 8 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.006,0.009,0.008,0.010,0.010,0.010,0.012,0.013,0.015,0.008,0.010,0.004,0.006,0.009,0.005,0.009,0.005,0.013,0.009,0.009,0.010,0.007,0.007,0.011,0.006,0.007,0.009,0.014,0.006,0.004,0.007,0.007,0.010,0.008,0.005,0.007,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 9 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.004,0.005,0.005,0.006,0.007,0.006,0.008,0.008,0.008,0.010,0.006,0.011,0.007,0.007,0.007,0.008,0.010,0.005,0.011,0.008,0.009,0.012,0.008,0.008,0.011,0.008,0.007,0.009,0.012,0.005,0.004,0.006,0.008,0.011,0.009,0.006,0.007,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.011,0.011,0.011,0.011,0.011,0.011,0.011
"  AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 10 to 14 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.026,0.027,0.029,0.032,0.032,0.034,0.038,0.043,0.042,0.049,0.049,0.052,0.051,0.052,0.046,0.049,0.054,0.055,0.054,0.052,0.056,0.054,0.059,0.050,0.041,0.040,0.045,0.041,0.043,0.050,0.046,0.042,0.039,0.039,0.036,0.040,0.042,0.043,0.041,0.038,0.036,0.039,0.039,0.040,0.040,0.040,0.043,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0.049,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.053,0.055,0.055,0.055,0.055,0.055,0.057,0.057,0.057
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 10 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.006,0.006,0.007,0.008,0.007,0.009,0.008,0.009,0.009,0.010,0.011,0.005,0.014,0.007,0.010,0.010,0.013,0.013,0.008,0.012,0.011,0.008,0.013,0.007,0.006,0.012,0.008,0.009,0.007,0.013,0.006,0.005,0.007,0.008,0.011,0.009,0.006,0.007,0.006,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 11 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.004,0.004,0.005,0.006,0.006,0.005,0.009,0.008,0.009,0.011,0.010,0.013,0.006,0.014,0.010,0.010,0.011,0.015,0.016,0.007,0.014,0.010,0.010,0.011,0.007,0.005,0.010,0.007,0.010,0.008,0.013,0.005,0.005,0.007,0.008,0.011,0.010,0.006,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 12 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.005,0.005,0.006,0.005,0.006,0.006,0.005,0.008,0.005,0.008,0.008,0.010,0.010,0.010,0.011,0.011,0.013,0.013,0.015,0.014,0.012,0.015,0.010,0.008,0.010,0.006,0.009,0.011,0.007,0.010,0.007,0.013,0.005,0.005,0.007,0.008,0.011,0.010,0.006,0.007,0.006,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 13 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.004,0.003,0.004,0.006,0.005,0.007,0.008,0.009,0.012,0.012,0.012,0.011,0.012,0.009,0.008,0.008,0.007,0.006,0.007,0.009,0.009,0.012,0.014,0.010,0.009,0.009,0.007,0.008,0.011,0.008,0.011,0.008,0.014,0.005,0.005,0.007,0.008,0.012,0.010,0.006,0.008,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.012,0.012
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 14 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.007,0.009,0.007,0.007,0.008,0.007,0.008,0.009,0.007,0.008,0.008,0.013,0.009,0.012,0.007,0.010,0.010,0.008,0.008,0.010,0.010,0.009,0.012,0.014,0.009,0.008,0.011,0.006,0.008,0.011,0.009,0.011,0.008,0.014,0.005,0.005,0.007,0.008,0.012,0.010,0.006,0.008,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.011,0.011,0.011,0.011,0.011,0.012,0.012,0.012
"  AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 15 to 19 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.041,0.039,0.041,0.040,0.041,0.041,0.041,0.041,0.040,0.040,0.041,0.046,0.047,0.046,0.052,0.050,0.053,0.046,0.037,0.044,0.046,0.042,0.039,0.044,0.051,0.048,0.046,0.046,0.041,0.038,0.042,0.049,0.050,0.051,0.056,0.051,0.048,0.044,0.044,0.039,0.045,0.048,0.049,0.047,0.042,0.041,0.042,0.043,0.046,0.046,0.047,0.049,0.050,0.050,0.050,0.052,0.053,0.054,0.055,0.055,0.055,0.056,0.057,0.058,0.058,0.060,0.060,0.060,0.062,0.064,0.063
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 15 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.010,0.011,0.013,0.011,0.011,0.010,0.010,0.010,0.010,0.009,0.010,0.010,0.013,0.012,0.015,0.008,0.010,0.013,0.009,0.011,0.010,0.010,0.008,0.012,0.012,0.007,0.008,0.009,0.006,0.009,0.011,0.008,0.011,0.008,0.014,0.005,0.005,0.007,0.008,0.011,0.010,0.006,0.008,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.012
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 16 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.007,0.008,0.009,0.010,0.009,0.009,0.011,0.010,0.010,0.011,0.010,0.008,0.007,0.008,0.009,0.012,0.008,0.008,0.008,0.006,0.010,0.012,0.010,0.009,0.016,0.014,0.008,0.009,0.012,0.007,0.010,0.012,0.009,0.011,0.009,0.015,0.006,0.005,0.008,0.009,0.012,0.011,0.007,0.008,0.007,0.009,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.012,0.012,0.012,0.012,0.012
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 17 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.011,0.008,0.009,0.010,0.012,0.010,0.010,0.010,0.009,0.009,0.010,0.011,0.009,0.010,0.012,0.012,0.017,0.007,0.010,0.011,0.010,0.007,0.009,0.009,0.008,0.014,0.013,0.007,0.008,0.011,0.006,0.010,0.012,0.009,0.011,0.009,0.015,0.006,0.005,0.008,0.009,0.012,0.011,0.007,0.008,0.007,0.009,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.012,0.012,0.012,0.013,0.012
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC MALE POPULATION AGE 18 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.005,0.005,0.004,0.004,0.004,0.006,0.004,0.006,0.006,0.006,0.006,0.011,0.013,0.010,0.012,0.014,0.012,0.013,0.006,0.011,0.010,0.005,0.007,0.008,0.007,0.006,0.011,0.010,0.007,0.006,0.009,0.007,0.010,0.012,0.009,0.012,0.009,0.016,0.006,0.005,0.008,0.010,0.013,0.011,0.007,0.009,0.007,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.013,0.013,0.013
